19884,5,6,37500,13,17,17,1,37500,50000,
19842,5,7,62500,13;14,25,26,2,62500,75000,
19891,5,9,87500,13;14;15;16,58,61,4,87500,100000,
19836,5,12,37500,13;14;15;17,13,14,2,37500,50000,
19592,5,13,62500,13;14;15;18,48,50,3,62500,75000,
19734,5,13,37500,13;14;15;18,4,5,2,37500,50000,
19804,5,13,37500,13;14;15;18,21,22,2,37500,50000,
19641,6,8,62500,14;15,44,45,2,62500,75000,
19904,6,10,62500,14;15;16;19,153,155,3,62500,75000,
19827,6,12,87500,14;15;17,88,91,4,87500,100000,
19916,6,13,37500,14;15;18,0,1,2,37500,50000,
19741,6,16,50000,14;15;17;27;31,132,136,5,50000,62500,
19822,7,14,37500,15;18;28,84,85,2,37500,50000,
19443,7,15,62500,15;17;27,100,102,3,62500,75000,
19910,7,17,75000,15;16;19;23,139,145,7,75000,87500,
19718,7,22,37500,15;17;27;33,68,69,2,37500,50000,
19797,8,10,62500,16;19,17,19,3,62500,75000,
19923,8,12,37500,17,4,4,1,37500,50000,
19780,8,15,62500,17;27,0,1,2,62500,75000,
19905,8,15,62500,17;27,25,26,2,62500,75000,
19743,8,17,62500,16;19;23,43,45,3,62500,75000,
19900,8,17,37500,16;19;23,10,11,2,37500,50000,
19735,8,21,87500,17;27;32,44,47,4,87500,100000,
19848,8,22,62500,17;27;33,50,52,3,62500,75000,
19471,8,23,62500,18;28;30,16,18,3,62500,75000,
19715,9,16,62500,20;25,14,16,3,62500,75000,
19865,9,17,37500,19;23,0,1,2,37500,50000,
19913,9,17,62500,19;23,38,40,3,62500,75000,
19796,10,14,50000,21;24;26;28,72,76,5,50000,62500,
19887,10,15,75000,21;24;27,139,145,7,75000,87500,
19791,10,20,37500,22;38;39,14,15,2,37500,50000,
19901,10,20,62500,22;38;39,9,11,3,62500,75000,
19564,10,21,62500,22;38;39;40,88,90,3,62500,75000,
19921,11,12,62500,24,0,1,2,62500,75000,
19915,11,15,37500,24;27,12,13,2,37500,50000,
19880,11,19,50000,25;34;37,123,127,5,50000,62500,
19766,12,13,62500,26,0,1,2,62500,75000,
19873,12,13,62500,26,4,5,2,62500,75000,
19679,12,15,100000,27,31,33,3,100000,112500,
19875,12,17,37500,27;31;34,84,85,2,37500,50000,
19867,12,19,37500,27;31;34;37,78,81,4,37500,50000,
19717,12,21,62500,27;32,39,41,3,62500,75000,
19826,12,22,37500,27;33,8,9,2,37500,50000,
19800,12,23,62500,26;28;30,21,23,3,62500,75000,
19805,13,14,37500,28,0,0,1,37500,50000,
19620,13,15,100000,28;29,55,57,3,100000,112500,
19732,13,16,62500,28;29;31,109,111,3,62500,75000,
19868,13,16,37500,28;29;31,26,27,2,37500,50000,
19893,13,16,62500,28;29;31,41,43,3,62500,75000,
19828,13,17,50000,28;29;31;34,100,104,5,50000,62500,
19839,13,17,50000,28;29;31;34,48,52,5,50000,62500,
19841,13,17,50000,28;29;31;34,62,66,5,50000,62500,
19897,13,21,62500,28;29;32,7,9,3,62500,75000,
19638,13,22,37500,28;29;33,30,31,2,37500,50000,
19847,13,22,87500,28;29;33,114,117,4,87500,100000,
19837,14,16,62500,29;31,0,1,2,62500,75000,
19774,14,19,75000,29;31;34;37,88,94,7,75000,87500,
19722,14,20,87500,29;31;35,34,37,4,87500,100000,
19720,14,23,87500,30,7,8,2,87500,100000,
19819,14,23,87500,30,0,1,2,87500,100000,
19857,14,23,87500,30,11,12,2,87500,100000,
19813,15,17,62500,31;34,57,59,3,62500,75000,
19621,15,20,37500,31;35,8,9,2,37500,50000,
19714,15,20,62500,31;35,17,19,3,62500,75000,
19829,15,20,62500,31;35,12,14,3,62500,75000,
19763,15,21,87500,32,16,17,2,87500,100000,
19695,16,17,62500,34,8,9,2,62500,75000,
19691,16,20,100000,35,0,2,3,100000,112500,
19733,16,20,62500,35,22,23,2,62500,75000,
19911,16,21,87500,36,5,6,2,87500,100000,
19755,16,23,87500,36;41;42,12,15,4,87500,100000,
19708,17,19,87500,37,0,1,2,87500,100000,
19540,18,19,37500,38,21,21,1,37500,50000,
19883,18,20,62500,38;39,0,1,2,62500,75000,
19706,18,22,62500,38;39;40;41,30,32,3,62500,75000,
19902,19,23,62500,39;40;41;42,4,6,3,62500,75000,
19677,20,22,62500,40;41,0,1,2,62500,75000,
